name,final_x,final_y,combined_share,concentration,lock_in_index,market_state,directional_state,final_q_u,final_q_m,avg_shortage_A,max_shortage_A,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit,case_name,alpha,beta
无补贴,0.21377157344442532,0.21377157344442532,0.21377157344442532,0.5724568531111494,0.5724568531111494,市场倾斜,市场倾斜,0.0,0.0,0.0,0.0,39.49909215267694,0.0,0.0,0.0,39.49909215267694,双边弱网络效应,0.4,0.4
用户补贴,0.7983876162133412,0.7948137928372947,0.796600704525318,0.5932014090506359,0.5932014090506359,市场倾斜,市场倾斜,0.0,0.0,0.026497569114293084,0.24682489522567444,148.82243756747607,10.231937873030759,0.0,10.231937873030759,138.59049969444533,双边弱网络效应,0.4,0.4
商户补贴,0.7948137928372947,0.7983876162133412,0.796600704525318,0.5932014090506359,0.5932014090506359,市场倾斜,市场倾斜,0.0,0.0,0.0,0.0,149.59265665175081,11.510930107159608,0.0,11.510930107159608,138.08172654459082,双边弱网络效应,0.4,0.4
双边补贴,0.7993204781104407,0.7993204781104407,0.7993204781104407,0.5986409562208814,0.5986409562208814,市场倾斜,市场倾斜,0.0,0.0,0.0,0.0,152.6184710392512,13.890885677662695,0.0,13.890885677662695,138.72758536158867,双边弱网络效应,0.4,0.4
无补贴,0.0066426668716770675,0.0066426668716770675,0.0066426668716770675,0.9867146662566458,0.9867146662566458,市场锁定,平台B锁定,0.0,0.0,0.0,0.0,2.1618861143248056,0.0,0.0,0.0,2.1618861143248056,对称强网络效应,1.2,1.2
用户补贴,0.9935296389866095,0.9933676014217062,0.9934486202041579,0.9868972404083157,0.9868972404083157,市场锁定,平台A锁定,0.0,0.0,0.0038307501853241774,0.18149876998757433,172.72728698947697,10.707100843268304,0.0,10.707100843268304,162.02018614620877,对称强网络效应,1.2,1.2
商户补贴,0.9933676014217062,0.9935296389866095,0.9934486202041579,0.9868972404083157,0.9868972404083157,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,172.84665977281213,12.045488448676783,0.0,12.045488448676783,160.80117132413562,对称强网络效应,1.2,1.2
双边补贴,0.9934759071029292,0.9934759071029292,0.9934759071029292,0.9869518142058584,0.9869518142058584,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,173.34688405336956,14.705353912009082,0.0,14.705353912009082,158.64153014136025,对称强网络效应,1.2,1.2
无补贴,0.003683301033835888,0.07752664423763543,0.04060497263573566,0.9187900547285286,0.9187900547285286,市场锁定,平台B锁定,0.0,0.0,0.0,0.0,8.846889410487679,0.0,0.0,0.0,8.846889410487679,用户更依赖商户,1.6,0.5
用户补贴,0.9964129409417257,0.9225028795085267,0.9594579102251262,0.9189158204502524,0.9189158204502524,市场锁定,平台A锁定,0.0,0.0,0.050787190631368426,0.2136500255488705,165.86779704633264,10.673442053617853,0.0,10.673442053617853,155.19435499271518,用户更依赖商户,1.6,0.5
商户补贴,0.9964098110738376,0.9246181308378697,0.9605139709558537,0.9210279419117073,0.9210279419117073,市场锁定,平台A锁定,0.0,0.0,0.020861698301489196,0.04179168023596794,169.08080050160888,11.847026014907694,0.0,11.847026014907694,157.23377448670124,用户更依赖商户,1.6,0.5
双边补贴,0.9964390677812958,0.9238871838897044,0.9601631258355001,0.9203262516710001,0.9203262516710001,市场锁定,平台A锁定,0.0,0.0,0.02500092853537273,0.0425518838915914,168.7276476121396,14.497045537266354,0.0,14.497045537266354,154.23060207487305,用户更依赖商户,1.6,0.5
无补贴,0.07752664423763543,0.003683301033835888,0.04060497263573566,0.9187900547285286,0.9187900547285286,市场锁定,平台B锁定,0.0,0.0,0.044984601715748286,0.07983094588808619,7.647761993957376,0.0,0.0,0.0,7.647761993957376,商户更依赖用户,0.5,1.6
用户补贴,0.9246181308378697,0.9964098110738376,0.9605139709558537,0.9210279419117073,0.9210279419117073,市场锁定,平台A锁定,0.0,0.0,0.0030488564161926996,0.1912070195523732,169.74989316002294,10.530689791029124,0.0,10.530689791029124,159.21920336899396,商户更依赖用户,0.5,1.6
商户补贴,0.9225028795085267,0.9964129409417257,0.9594579102251262,0.9189158204502524,0.9189158204502524,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,167.16010301572973,12.00762231032006,0.0,12.00762231032006,155.15248070540986,商户更依赖用户,0.5,1.6
双边补贴,0.9238871838897044,0.9964390677812958,0.9601631258355001,0.9203262516710001,0.9203262516710001,市场锁定,平台A锁定,0.0,0.0,2.177654270201819e-05,0.007489854262298562,169.573827532994,14.523900103732544,0.0,14.523900103732544,155.04992742926143,商户更依赖用户,0.5,1.6
无补贴,0.0007734302977765421,0.0007734302977765421,0.0007734302977765421,0.9984531394044469,0.9984531394044469,市场锁定,平台B锁定,0.0,0.0,0.0,0.0,0.9824864911659178,0.0,0.0,0.0,0.9824864911659178,极强锁定市场,1.8,1.8
用户补贴,0.9992464670507881,0.9992267758943744,0.9992366214725812,0.9984732429451625,0.9984732429451625,市场锁定,平台A锁定,0.0,0.0,0.004696815153325875,0.15522946979184923,172.0510574586943,10.342249444487232,0.0,10.342249444487232,161.70880801420702,极强锁定市场,1.8,1.8
商户补贴,0.9992267758943744,0.9992464670507881,0.9992366214725812,0.9984732429451625,0.9984732429451625,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,172.1597896039238,11.635030625048142,0.0,11.635030625048142,160.52475897887666,极强锁定市场,1.8,1.8
双边补贴,0.999239635683043,0.999239635683043,0.999239635683043,0.9984792713660859,0.9984792713660859,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,173.79171599482265,14.626877443767277,0.0,14.626877443767277,159.16483855105568,极强锁定市场,1.8,1.8
