u0,m0,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.3,0.3,0.018615384615384617,0.007918953065580867,0.9635852071005917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.325,0.018461538461538463,0.007924288517503274,0.9638816568047338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.35,0.018000000000000002,0.0082120343123612,0.9647801775147928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.375,0.018076923076923077,0.008205046441246198,0.9646316568047338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.4,0.32596153846153847,0.4540849373835829,0.9647173076923078,0.32,3.5,0.0,0.0,0.0,0.32,0.68,0.0
0.3,0.425,0.7496153846153847,0.4170293474484222,0.9654860946745564,0.76,2.6052631578947367,0.0,0.0,0.0,0.76,0.24,0.0
0.3,0.45,0.9819230769230769,0.006454582485972926,0.9645813609467457,1.0,2.26,0.0,0.0,0.0,1.0,0.0,0.0
0.3,0.475,0.9822307692307694,0.006530838662902686,0.965176627218935,1.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0
0.3,0.5,0.9823076923076924,0.006718142450899703,0.9653298816568048,1.0,1.14,0.0,0.0,0.0,1.0,0.0,0.0
0.325,0.3,0.018576923076923078,0.007949108293786459,0.9636602071005917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.325,0.325,0.018423076923076924,0.007953664418609488,0.9639566568047337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.325,0.35,0.017961538461538463,0.008247342430565668,0.9648554733727811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.325,0.375,0.05642307692307693,0.19273837565859978,0.9663312130177515,0.04,3.0,0.0,0.0,0.0,0.04,0.96,0.0
0.325,0.4,0.5577307692307693,0.4831766241268763,0.9642465976331361,0.56,3.0714285714285716,0.0,0.0,0.0,0.56,0.44,0.0
0.325,0.425,0.8465,0.3390216060638237,0.9653983727810652,0.86,2.4651162790697674,0.0,0.0,0.0,0.86,0.14,0.0
0.325,0.45,0.9820384615384615,0.006485029624137327,0.9648045857988167,1.0,2.02,0.0,0.0,0.0,1.0,0.0,0.0
0.325,0.475,0.9823076923076924,0.00655897603643588,0.9653257396449705,1.0,1.64,0.0,0.0,0.0,1.0,0.0,0.0
0.325,0.5,0.9823846153846155,0.006744603410135003,0.9654789940828404,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.3,0.01853846153846154,0.00796001964899976,0.9637346153846154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.325,0.018384615384615385,0.007963811398678435,0.9640310650887574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.35,0.017923076923076924,0.008273200098777456,0.9649304733727812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.375,0.25011538461538463,0.41683808191603916,0.9654424556213018,0.24,3.75,0.0,0.0,0.0,0.24,0.76,0.0
0.35,0.4,0.7501923076923077,0.41654082248041185,0.9652646449704143,0.76,2.6842105263157894,0.0,0.0,0.0,0.76,0.24,0.0
0.35,0.425,0.9629615384615385,0.13717449202797316,0.9655477810650889,0.98,2.306122448979592,0.0,0.0,0.0,0.98,0.02,0.0
0.35,0.45,0.9820769230769231,0.006529451729394052,0.9648798816568049,1.0,1.92,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.475,0.982346153846154,0.006601300219930007,0.9654010355029586,1.0,1.36,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.5,0.9824230769230771,0.006785324987720686,0.9655542899408285,1.0,1.06,0.0,0.0,0.0,1.0,0.0,0.0
0.375,0.3,0.018461538461538463,0.00793380718582069,0.9638819526627219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.375,0.325,0.01830769230769231,0.007936089967391686,0.9641784023668639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.375,0.35,0.0955,0.2648350536910989,0.9647102071005917,0.08,5.25,0.0,0.0,0.0,0.08,0.92,0.0
0.375,0.375,0.5003846153846154,0.487187921654383,0.9652103550295859,0.5,3.4,0.0,0.0,0.0,0.5,0.5,0.0
0.375,0.4,0.8082307692307693,0.3743891776881426,0.9647402366863906,0.82,2.3658536585365852,0.0,0.0,0.0,0.82,0.18,0.0
0.375,0.425,0.9822692307692309,0.0065738032755854586,0.9652519230769232,1.0,2.06,0.0,0.0,0.0,1.0,0.0,0.0
0.375,0.45,0.9821538461538463,0.006513249016587879,0.9650278106508877,1.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0
0.375,0.475,0.9824230769230771,0.006604957830195033,0.9655495562130179,1.0,1.18,0.0,0.0,0.0,1.0,0.0,0.0
0.375,0.5,0.9825,0.006787994011321869,0.9657028106508876,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.3,0.018423076923076924,0.00795366441860949,0.9639566568047337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.325,0.01826923076923077,0.007955182547016626,0.9642531065088759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.35,0.2301923076923077,0.4041574359123688,0.9657451183431953,0.22,3.727272727272727,0.0,0.0,0.0,0.22,0.78,0.0
0.4,0.375,0.6731538461538462,0.4551983023974217,0.9660872781065089,0.68,2.9705882352941178,0.0,0.0,0.0,0.68,0.32,0.0
0.4,0.4,0.8860000000000001,0.2914158086476555,0.9644414201183433,0.9,2.311111111111111,0.0,0.0,0.0,0.9,0.1,0.0
0.4,0.425,0.9823076923076924,0.0065819497531378664,0.9653263313609469,1.0,2.02,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.45,0.9821923076923078,0.00652216548977448,0.9651022189349113,1.0,1.72,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.475,0.9824615384615385,0.006634942430453185,0.9656245562130178,1.0,1.12,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.5,0.9825384615384616,0.006816730733745396,0.9657778106508877,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.425,0.3,0.01830769230769231,0.007878822009136926,0.9641766272189349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.425,0.325,0.018153846153846156,0.007878055624036224,0.9644730769230769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.425,0.35,0.3654615384615385,0.4675281731425853,0.964623076923077,0.36,3.388888888888889,0.0,0.0,0.0,0.36,0.64,0.0
0.425,0.375,0.769846153846154,0.404530040661816,0.9663772189349114,0.78,2.717948717948718,0.0,0.0,0.0,0.78,0.22,0.0
0.425,0.4,0.9826923076923078,0.0065011865748347344,0.9660665680473373,1.0,2.28,0.0,0.0,0.0,1.0,0.0,0.0
0.425,0.425,0.9823846153846155,0.006586076511547991,0.965474852071006,1.0,1.94,0.0,0.0,0.0,1.0,0.0,0.0
0.425,0.45,0.9822692307692309,0.006527717648115244,0.9652507396449705,1.0,1.46,0.0,0.0,0.0,1.0,0.0,0.0
0.425,0.475,0.9825384615384616,0.00663721708595229,0.965773076923077,1.0,1.04,0.0,0.0,0.0,1.0,0.0,0.0
0.425,0.5,0.9826153846153847,0.006840162831180134,0.9659269230769232,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.3,0.018192307692307695,0.007830489642885513,0.9643974852071006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.325,0.03711538461538462,0.13473825408500414,0.9641069526627218,0.02,5.0,0.0,0.0,0.0,0.02,0.98,0.0
0.45,0.35,0.5380769230769231,0.48528211592556514,0.9644772189349113,0.54,3.0,0.0,0.0,0.0,0.54,0.46,0.0
0.45,0.375,0.9055384615384616,0.264246198868996,0.965781952662722,0.92,2.717391304347826,0.0,0.0,0.0,0.92,0.08,0.0
0.45,0.4,0.9827307692307693,0.006483632891486167,0.9661403846153847,1.0,2.1,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.425,0.9824230769230771,0.006570587803173884,0.9655486686390533,1.0,1.78,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.45,0.9823076923076924,0.006512785489631691,0.9653245562130178,1.0,1.24,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.475,0.9825769230769231,0.006620936117578748,0.9658468934911244,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.5,0.9826538461538462,0.006823923656221094,0.9660007396449706,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.3,0.018115384615384617,0.007810029346082399,0.9645451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.475,0.325,0.07630769230769231,0.2319506129012438,0.9644804733727811,0.06,4.0,0.0,0.0,0.0,0.06,0.94,0.0
0.475,0.35,0.7697692307692309,0.40449115718939394,0.9662325443786983,0.78,2.8205128205128207,0.0,0.0,0.0,0.78,0.22,0.0
0.475,0.375,0.9828846153846155,0.006504088242720713,0.9664380177514793,1.0,2.22,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.4,0.9827692307692308,0.0065239010468413055,0.9662156804733729,1.0,1.96,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.425,0.9824615384615385,0.006612152837702442,0.9656239644970416,1.0,1.58,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.45,0.982346153846154,0.006532340841901424,0.9653992603550298,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.475,0.9826153846153847,0.0066385815051435955,0.9659215976331361,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.5,0.9826923076923078,0.006840604174719068,0.9660754437869824,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.3,0.018115384615384617,0.007810029346082399,0.9645451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.325,0.26784615384615384,0.4270325004380613,0.9652100591715977,0.26,4.0,0.0,0.0,0.0,0.26,0.74,0.0
0.5,0.35,0.8661538461538462,0.31873886369421384,0.967262426035503,0.88,2.5454545454545454,0.0,0.0,0.0,0.88,0.12,0.0
0.5,0.375,0.9830000000000001,0.0065400773698314285,0.9666618343195268,1.0,2.06,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.4,0.9828846153846155,0.006561852149723173,0.9664394970414202,1.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.425,0.9825769230769231,0.006655046125497243,0.965847781065089,1.0,1.34,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.45,0.9824615384615385,0.006577820405704241,0.965623076923077,1.0,1.02,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.475,0.9827307692307693,0.0066785934653218,0.9661454142011836,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.5,0.9828076923076924,0.006900035789885626,0.966299852071006,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
