setting,network_strength,delta_q,u_inf,m_inf,L_A,success
中等网络效应 alpha=beta=1.0,1.0,0.0,0.1707151969133687,0.1707151969133687,0.1707151969133687,0
中等网络效应 alpha=beta=1.0,1.0,0.05,0.24803380139457828,0.24803380139457828,0.24803380139457828,0
中等网络效应 alpha=beta=1.0,1.0,0.1,0.8864458145091172,0.8864458145091172,0.8864458145091172,1
中等网络效应 alpha=beta=1.0,1.0,0.15000000000000002,0.9035099855674636,0.9035099855674636,0.9035099855674636,1
中等网络效应 alpha=beta=1.0,1.0,0.2,0.9169199478359772,0.9169199478359772,0.9169199478359772,1
中等网络效应 alpha=beta=1.0,1.0,0.25,0.9278062844566438,0.9278062844566438,0.9278062844566438,1
中等网络效应 alpha=beta=1.0,1.0,0.30000000000000004,0.9368391485240187,0.9368391485240187,0.9368391485240187,1
中等网络效应 alpha=beta=1.0,1.0,0.35000000000000003,0.9444528200426353,0.9444528200426353,0.9444528200426353,1
中等网络效应 alpha=beta=1.0,1.0,0.4,0.9509462842513657,0.9509462842513657,0.9509462842513657,1
中等网络效应 alpha=beta=1.0,1.0,0.45,0.9565352425210008,0.9565352425210008,0.9565352425210008,1
中等网络效应 alpha=beta=1.0,1.0,0.5,0.9613810866790466,0.9613810866790466,0.9613810866790466,1
中等网络效应 alpha=beta=1.0,1.0,0.55,0.96560736161482,0.96560736161482,0.96560736161482,1
中等网络效应 alpha=beta=1.0,1.0,0.6000000000000001,0.9693113867251761,0.9693113867251761,0.9693113867251761,1
中等网络效应 alpha=beta=1.0,1.0,0.65,0.97257087539782,0.97257087539782,0.97257087539782,1
中等网络效应 alpha=beta=1.0,1.0,0.7000000000000001,0.9754492260126136,0.9754492260126136,0.9754492260126136,1
中等网络效应 alpha=beta=1.0,1.0,0.75,0.9779983760023767,0.9779983760023767,0.9779983760023767,1
中等网络效应 alpha=beta=1.0,1.0,0.8,0.9802615870078996,0.9802615870078996,0.9802615870078996,1
中等网络效应 alpha=beta=1.0,1.0,0.8500000000000001,0.9822754440664877,0.9822754440664877,0.9822754440664877,1
中等网络效应 alpha=beta=1.0,1.0,0.9,0.9840707218904889,0.9840707218904889,0.9840707218904889,1
中等网络效应 alpha=beta=1.0,1.0,0.9500000000000001,0.9856737730026636,0.9856737730026636,0.9856737730026636,1
中等网络效应 alpha=beta=1.0,1.0,1.0,0.9871072422067816,0.9871072422067816,0.9871072422067816,1
中等网络效应 alpha=beta=1.0,1.0,1.05,0.9883906861999123,0.9883906861999123,0.9883906861999123,1
中等网络效应 alpha=beta=1.0,1.0,1.1,0.9895410941952425,0.9895410941952425,0.9895410941952425,1
中等网络效应 alpha=beta=1.0,1.0,1.1500000000000001,0.9905734133929409,0.9905734133929409,0.9905734133929409,1
中等网络效应 alpha=beta=1.0,1.0,1.2000000000000002,0.9915003945442428,0.9915003945442428,0.9915003945442428,1
中等网络效应 alpha=beta=1.0,1.0,1.25,0.9923335001644302,0.9923335001644302,0.9923335001644302,1
中等网络效应 alpha=beta=1.0,1.0,1.3,0.9930827493081975,0.9930827493081975,0.9930827493081975,1
中等网络效应 alpha=beta=1.0,1.0,1.35,0.9937570000802922,0.9937570000802922,0.9937570000802922,1
中等网络效应 alpha=beta=1.0,1.0,1.4000000000000001,0.994364088118198,0.994364088118198,0.994364088118198,1
中等网络效应 alpha=beta=1.0,1.0,1.4500000000000002,0.9949109837135826,0.9949109837135826,0.9949109837135826,1
中等网络效应 alpha=beta=1.0,1.0,1.5,0.9954038590553759,0.9954038590553759,0.9954038590553759,1
中等网络效应 alpha=beta=1.0,1.0,1.55,0.9958482543429688,0.9958482543429688,0.9958482543429688,1
中等网络效应 alpha=beta=1.0,1.0,1.6,0.9962490548335883,0.9962490548335883,0.9962490548335883,1
中等网络效应 alpha=beta=1.0,1.0,1.6500000000000001,0.9966106666445499,0.9966106666445499,0.9966106666445499,1
中等网络效应 alpha=beta=1.0,1.0,1.7000000000000002,0.9969370024570294,0.9969370024570294,0.9969370024570294,1
中等网络效应 alpha=beta=1.0,1.0,1.75,0.9972315834590603,0.9972315834590603,0.9972315834590603,1
中等网络效应 alpha=beta=1.0,1.0,1.8,0.9974975612646593,0.9974975612646593,0.9974975612646593,1
中等网络效应 alpha=beta=1.0,1.0,1.85,0.9977377631752649,0.9977377631752649,0.9977377631752649,1
中等网络效应 alpha=beta=1.0,1.0,1.9000000000000001,0.9979547277431147,0.9979547277431147,0.9979547277431147,1
中等网络效应 alpha=beta=1.0,1.0,1.9500000000000002,0.9981507359998578,0.9981507359998578,0.9981507359998578,1
中等网络效应 alpha=beta=1.0,1.0,2.0,0.9983278389771961,0.9983278389771961,0.9983278389771961,1
中等网络效应 alpha=beta=1.0,1.0,2.0500000000000003,0.9984878820254621,0.9984878820254621,0.9984878820254621,1
中等网络效应 alpha=beta=1.0,1.0,2.1,0.9986325280422096,0.9986325280422096,0.9986325280422096,1
中等网络效应 alpha=beta=1.0,1.0,2.15,0.9987632696354933,0.9987632696354933,0.9987632696354933,1
中等网络效应 alpha=beta=1.0,1.0,2.2,0.998881454088115,0.998881454088115,0.998881454088115,1
中等网络效应 alpha=beta=1.0,1.0,2.25,0.998988301426049,0.998988301426049,0.998988301426049,1
中等网络效应 alpha=beta=1.0,1.0,2.3000000000000003,0.9990849054399862,0.9990849054399862,0.9990849054399862,1
中等网络效应 alpha=beta=1.0,1.0,2.35,0.9991722545294789,0.9991722545294789,0.9991722545294789,1
中等网络效应 alpha=beta=1.0,1.0,2.4000000000000004,0.9992512392448628,0.9992512392448628,0.9992512392448628,1
中等网络效应 alpha=beta=1.0,1.0,2.45,0.9993226697142337,0.9993226697142337,0.9993226697142337,1
中等网络效应 alpha=beta=1.0,1.0,2.5,0.9993872760053684,0.9993872760053684,0.9993872760053684,1
中等网络效应 alpha=beta=1.0,1.0,2.5500000000000003,0.9994457065100253,0.9994457065100253,0.9994457065100253,1
中等网络效应 alpha=beta=1.0,1.0,2.6,0.9994985539977491,0.9994985539977491,0.9994985539977491,1
中等网络效应 alpha=beta=1.0,1.0,2.6500000000000004,0.9995463538963092,0.9995463538963092,0.9995463538963092,1
中等网络效应 alpha=beta=1.0,1.0,2.7,0.9995895899217916,0.9995895899217916,0.9995895899217916,1
中等网络效应 alpha=beta=1.0,1.0,2.75,0.9996286991401273,0.9996286991401273,0.9996286991401273,1
中等网络效应 alpha=beta=1.0,1.0,2.8000000000000003,0.9996640765206786,0.9996640765206786,0.9996640765206786,1
中等网络效应 alpha=beta=1.0,1.0,2.85,0.9996960790348054,0.9996960790348054,0.9996960790348054,1
中等网络效应 alpha=beta=1.0,1.0,2.9000000000000004,0.9997250293477342,0.9997250293477342,0.9997250293477342,1
中等网络效应 alpha=beta=1.0,1.0,2.95,0.9997512191445473,0.9997512191445473,0.9997512191445473,1
中等网络效应 alpha=beta=1.0,1.0,3.0,0.999774895740081,0.999774895740081,0.999774895740081,1
中等网络效应 alpha=beta=1.0,1.0,3.0500000000000003,0.9997963304035388,0.9997963304035388,0.9997963304035388,1
中等网络效应 alpha=beta=1.0,1.0,3.1,0.9998157222654307,0.9998157222654307,0.9998157222654307,1
中等网络效应 alpha=beta=1.0,1.0,3.1500000000000004,0.9998332662732327,0.9998332662732327,0.9998332662732327,1
中等网络效应 alpha=beta=1.0,1.0,3.2,0.9998491387227263,0.9998491387227263,0.9998491387227263,1
中等网络效应 alpha=beta=1.0,1.0,3.25,0.999863499051441,0.999863499051441,0.999863499051441,1
中等网络效应 alpha=beta=1.0,1.0,3.3000000000000003,0.9998764914575788,0.9998764914575788,0.9998764914575788,1
中等网络效应 alpha=beta=1.0,1.0,3.35,0.9998882463623514,0.9998882463623514,0.9998882463623514,1
中等网络效应 alpha=beta=1.0,1.0,3.4000000000000004,0.9998988817311386,0.9998988817311386,0.9998988817311386,1
中等网络效应 alpha=beta=1.0,1.0,3.45,0.9999085042667701,0.9999085042667701,0.9999085042667701,1
中等网络效应 alpha=beta=1.0,1.0,3.5,0.9999172104880854,0.9999172104880854,0.9999172104880854,1
中等网络效应 alpha=beta=1.0,1.0,3.5500000000000003,0.9999250877043576,0.9999250877043576,0.9999250877043576,1
中等网络效应 alpha=beta=1.0,1.0,3.6,0.9999322148963172,0.9999322148963172,0.9999322148963172,1
中等网络效应 alpha=beta=1.0,1.0,3.6500000000000004,0.999938663512222,0.999938663512222,0.999938663512222,1
中等网络效应 alpha=beta=1.0,1.0,3.7,0.9999444981877252,0.9999444981877252,0.9999444981877252,1
中等网络效应 alpha=beta=1.0,1.0,3.75,0.999949777396573,0.999949777396573,0.999949777396573,1
中等网络效应 alpha=beta=1.0,1.0,3.8000000000000003,0.9999545540390113,0.9999545540390113,0.9999545540390113,1
中等网络效应 alpha=beta=1.0,1.0,3.85,0.9999588759737685,0.9999588759737685,0.9999588759737685,1
中等网络效应 alpha=beta=1.0,1.0,3.9000000000000004,0.9999627864992618,0.9999627864992618,0.9999627864992618,1
中等网络效应 alpha=beta=1.0,1.0,3.95,0.999966324788471,0.999966324788471,0.999966324788471,1
中等网络效应 alpha=beta=1.0,1.0,4.0,0.9999695262826397,0.9999695262826397,0.9999695262826397,1
中等网络效应 alpha=beta=1.0,1.0,4.05,0.9999724230469487,0.9999724230469487,0.9999724230469487,1
中等网络效应 alpha=beta=1.0,1.0,4.1000000000000005,0.9999750440925128,0.9999750440925128,0.9999750440925128,1
中等网络效应 alpha=beta=1.0,1.0,4.15,0.999977415667459,0.999977415667459,0.999977415667459,1
中等网络效应 alpha=beta=1.0,1.0,4.2,0.9999795615202158,0.9999795615202158,0.9999795615202158,1
中等网络效应 alpha=beta=1.0,1.0,4.25,0.9999815031378054,0.9999815031378054,0.9999815031378054,1
中等网络效应 alpha=beta=1.0,1.0,4.3,0.9999832599612868,0.9999832599612868,0.9999832599612868,1
中等网络效应 alpha=beta=1.0,1.0,4.3500000000000005,0.9999848495805886,0.9999848495805886,0.9999848495805886,1
中等网络效应 alpha=beta=1.0,1.0,4.4,0.9999862879110296,0.9999862879110296,0.9999862879110296,1
中等网络效应 alpha=beta=1.0,1.0,4.45,0.999987589352601,0.999987589352601,0.999987589352601,1
中等网络效应 alpha=beta=1.0,1.0,4.5,0.9999887669345078,0.9999887669345078,0.9999887669345078,1
中等网络效应 alpha=beta=1.0,1.0,4.55,0.9999898324455674,0.9999898324455674,0.9999898324455674,1
中等网络效应 alpha=beta=1.0,1.0,4.6000000000000005,0.9999907965523729,0.9999907965523729,0.9999907965523729,1
中等网络效应 alpha=beta=1.0,1.0,4.65,0.9999916689061878,0.9999916689061878,0.9999916689061878,1
中等网络效应 alpha=beta=1.0,1.0,4.7,0.9999924582395521,0.9999924582395521,0.9999924582395521,1
中等网络效应 alpha=beta=1.0,1.0,4.75,0.9999931724538182,0.9999931724538182,0.9999931724538182,1
中等网络效应 alpha=beta=1.0,1.0,4.800000000000001,0.9999938186982587,0.9999938186982587,0.9999938186982587,1
中等网络效应 alpha=beta=1.0,1.0,4.8500000000000005,0.9999944034416466,0.9999944034416466,0.9999944034416466,1
中等网络效应 alpha=beta=1.0,1.0,4.9,0.9999949325371105,0.9999949325371105,0.9999949325371105,1
中等网络效应 alpha=beta=1.0,1.0,4.95,0.9999954192278637,0.9999954192278637,0.9999954192278637,1
中等网络效应 alpha=beta=1.0,1.0,5.0,0.9999958593058812,0.9999958593058812,0.9999958593058812,1
强网络效应 alpha=beta=3.0,3.0,0.0,0.0016951248702030443,0.0016951248702030443,0.0016951248702030443,0
强网络效应 alpha=beta=3.0,3.0,0.05,0.0018774365813867162,0.0018774365813867162,0.0018774365813867162,0
强网络效应 alpha=beta=3.0,3.0,0.1,0.002079849367299869,0.002079849367299869,0.002079849367299869,0
强网络效应 alpha=beta=3.0,3.0,0.15000000000000002,0.002304694849091591,0.002304694849091591,0.002304694849091591,0
强网络效应 alpha=beta=3.0,3.0,0.2,0.0025546018970034274,0.0025546018970034274,0.0025546018970034274,0
强网络效应 alpha=beta=3.0,3.0,0.25,0.0028325442887100383,0.0028325442887100383,0.0028325442887100383,0
强网络效应 alpha=beta=3.0,3.0,0.30000000000000004,0.0031418907295030526,0.0031418907295030526,0.0031418907295030526,0
强网络效应 alpha=beta=3.0,3.0,0.35000000000000003,0.003486469682845623,0.003486469682845623,0.003486469682845623,0
强网络效应 alpha=beta=3.0,3.0,0.4,0.0038706460941287453,0.0038706460941287453,0.0038706460941287453,0
强网络效应 alpha=beta=3.0,3.0,0.45,0.004299415812299003,0.004299415812299003,0.004299415812299003,0
强网络效应 alpha=beta=3.0,3.0,0.5,0.004778517606510165,0.004778517606510165,0.004778517606510165,0
强网络效应 alpha=beta=3.0,3.0,0.55,0.005314575596782249,0.005314575596782249,0.005314575596782249,0
强网络效应 alpha=beta=3.0,3.0,0.6000000000000001,0.0059152753541742665,0.0059152753541742665,0.0059152753541742665,0
强网络效应 alpha=beta=3.0,3.0,0.65,0.00658958657372576,0.00658958657372576,0.00658958657372576,0
强网络效应 alpha=beta=3.0,3.0,0.7000000000000001,0.007348051522905547,0.007348051522905547,0.007348051522905547,0
强网络效应 alpha=beta=3.0,3.0,0.75,0.008203153923927575,0.008203153923927575,0.008203153923927575,0
强网络效应 alpha=beta=3.0,3.0,0.8,0.009169812210948614,0.009169812210948614,0.009169812210948614,0
强网络效应 alpha=beta=3.0,3.0,0.8500000000000001,0.010266043091221932,0.010266043091221932,0.010266043091221932,0
强网络效应 alpha=beta=3.0,3.0,0.9,0.9997244274645802,0.9997244274645802,0.9997244274645802,1
强网络效应 alpha=beta=3.0,3.0,0.9500000000000001,0.9997507188782612,0.9997507188782612,0.9997507188782612,1
强网络效应 alpha=beta=3.0,3.0,1.0,0.9997745203893595,0.9997745203893595,0.9997745203893595,1
强网络效应 alpha=beta=3.0,3.0,1.05,0.9997960275513885,0.9997960275513885,0.9997960275513885,1
强网络效应 alpha=beta=3.0,3.0,1.1,0.9998154763673288,0.9998154763673288,0.9998154763673288,1
强网络效应 alpha=beta=3.0,3.0,1.1500000000000001,0.9998330756438719,0.9998330756438719,0.9998330756438719,1
强网络效应 alpha=beta=3.0,3.0,1.2000000000000002,0.999848962355023,0.999848962355023,0.999848962355023,1
强网络效应 alpha=beta=3.0,3.0,1.25,0.9998633791310426,0.9998633791310426,0.9998633791310426,1
强网络效应 alpha=beta=3.0,3.0,1.3,0.9998763954567597,0.9998763954567597,0.9998763954567597,1
强网络效应 alpha=beta=3.0,3.0,1.35,0.9998881758164866,0.9998881758164866,0.9998881758164866,1
强网络效应 alpha=beta=3.0,3.0,1.4000000000000001,0.9998988314643558,0.9998988314643558,0.9998988314643558,1
强网络效应 alpha=beta=3.0,3.0,1.4500000000000002,0.9999084665165868,0.9999084665165868,0.9999084665165868,1
强网络效应 alpha=beta=3.0,3.0,1.5,0.9999171441236787,0.9999171441236787,0.9999171441236787,1
强网络效应 alpha=beta=3.0,3.0,1.55,0.9999250517367567,0.9999250517367567,0.9999250517367567,1
强网络效应 alpha=beta=3.0,3.0,1.6,0.9999322061123198,0.9999322061123198,0.9999322061123198,1
强网络效应 alpha=beta=3.0,3.0,1.6500000000000001,0.9999386612374435,0.9999386612374435,0.9999386612374435,1
强网络效应 alpha=beta=3.0,3.0,1.7000000000000002,0.9999444996886964,0.9999444996886964,0.9999444996886964,1
强网络效应 alpha=beta=3.0,3.0,1.75,0.9999497544303931,0.9999497544303931,0.9999497544303931,1
强网络效应 alpha=beta=3.0,3.0,1.8,0.9999545601613736,0.9999545601613736,0.9999545601613736,1
强网络效应 alpha=beta=3.0,3.0,1.85,0.999958889249452,0.999958889249452,0.999958889249452,1
强网络效应 alpha=beta=3.0,3.0,1.9000000000000001,0.9999628042082066,0.9999628042082066,0.9999628042082066,1
强网络效应 alpha=beta=3.0,3.0,1.9500000000000002,0.9999663094424674,0.9999663094424674,0.9999663094424674,1
强网络效应 alpha=beta=3.0,3.0,2.0,0.9999695137074005,0.9999695137074005,0.9999695137074005,1
强网络效应 alpha=beta=3.0,3.0,2.0500000000000003,0.9999724259933664,0.9999724259933664,0.9999724259933664,1
强网络效应 alpha=beta=3.0,3.0,2.1,0.999975067073599,0.999975067073599,0.999975067073599,1
强网络效应 alpha=beta=3.0,3.0,2.15,0.999977440133984,0.999977440133984,0.999977440133984,1
强网络效应 alpha=beta=3.0,3.0,2.2,0.9999795868241632,0.9999795868241632,0.9999795868241632,1
强网络效应 alpha=beta=3.0,3.0,2.25,0.9999815289918123,0.9999815289918123,0.9999815289918123,1
强网络效应 alpha=beta=3.0,3.0,2.3000000000000003,0.9999832857164485,0.9999832857164485,0.9999832857164485,1
强网络效应 alpha=beta=3.0,3.0,2.35,0.9999848740619682,0.9999848740619682,0.9999848740619682,1
强网络效应 alpha=beta=3.0,3.0,2.4000000000000004,0.99998629179981,0.99998629179981,0.99998629179981,1
强网络效应 alpha=beta=3.0,3.0,2.45,0.9999875969367075,0.9999875969367075,0.9999875969367075,1
强网络效应 alpha=beta=3.0,3.0,2.5,0.9999887748413137,0.9999887748413137,0.9999887748413137,1
强网络效应 alpha=beta=3.0,3.0,2.5500000000000003,0.9999898384437068,0.9999898384437068,0.9999898384437068,1
强网络效应 alpha=beta=3.0,3.0,2.6,0.9999907883720043,0.9999907883720043,0.9999907883720043,1
强网络效应 alpha=beta=3.0,3.0,2.6500000000000004,0.9999916626712015,0.9999916626712015,0.9999916626712015,1
强网络效应 alpha=beta=3.0,3.0,2.7,0.9999924625858053,0.9999924625858053,0.9999924625858053,1
强网络效应 alpha=beta=3.0,3.0,2.75,0.9999931799151386,0.9999931799151386,0.9999931799151386,1
强网络效应 alpha=beta=3.0,3.0,2.8000000000000003,0.9999938337123067,0.9999938337123067,0.9999938337123067,1
强网络效应 alpha=beta=3.0,3.0,2.85,0.9999944269122,0.9999944269122,0.9999944269122,1
强网络效应 alpha=beta=3.0,3.0,2.9000000000000004,0.9999949398351679,0.9999949398351679,0.9999949398351679,1
强网络效应 alpha=beta=3.0,3.0,2.95,0.9999954063391314,0.9999954063391314,0.9999954063391314,1
强网络效应 alpha=beta=3.0,3.0,3.0,0.9999958291849907,0.9999958291849907,0.9999958291849907,1
强网络效应 alpha=beta=3.0,3.0,3.0500000000000003,0.9999962304812059,0.9999962304812059,0.9999962304812059,1
强网络效应 alpha=beta=3.0,3.0,3.1,0.9999965751972637,0.9999965751972637,0.9999965751972637,1
强网络效应 alpha=beta=3.0,3.0,3.1500000000000004,0.9999969088169243,0.9999969088169243,0.9999969088169243,1
强网络效应 alpha=beta=3.0,3.0,3.2,0.9999972062904273,0.9999972062904273,0.9999972062904273,1
强网络效应 alpha=beta=3.0,3.0,3.25,0.9999974692157435,0.9999974692157435,0.9999974692157435,1
强网络效应 alpha=beta=3.0,3.0,3.3000000000000003,0.9999976651496291,0.9999976651496291,0.9999976651496291,1
强网络效应 alpha=beta=3.0,3.0,3.35,0.9999979696971837,0.9999979696971837,0.9999979696971837,1
强网络效应 alpha=beta=3.0,3.0,3.4000000000000004,0.9999981407946096,0.9999981407946096,0.9999981407946096,1
强网络效应 alpha=beta=3.0,3.0,3.45,0.9999983409557759,0.9999983409557759,0.9999983409557759,1
强网络效应 alpha=beta=3.0,3.0,3.5,0.9999985047949501,0.9999985047949501,0.9999985047949501,1
强网络效应 alpha=beta=3.0,3.0,3.5500000000000003,0.9999986488860657,0.9999986488860657,0.9999986488860657,1
强网络效应 alpha=beta=3.0,3.0,3.6,0.9999987672485984,0.9999987672485984,0.9999987672485984,1
强网络效应 alpha=beta=3.0,3.0,3.6500000000000004,0.9999988984338724,0.9999988984338724,0.9999988984338724,1
强网络效应 alpha=beta=3.0,3.0,3.7,0.9999990101954965,0.9999990101954965,0.9999990101954965,1
强网络效应 alpha=beta=3.0,3.0,3.75,0.9999987774252723,0.9999987774252723,0.9999987774252723,1
强网络效应 alpha=beta=3.0,3.0,3.8000000000000003,0.9999988977108428,0.9999988977108428,0.9999988977108428,1
强网络效应 alpha=beta=3.0,3.0,3.85,0.9999991699837877,0.9999991699837877,0.9999991699837877,1
强网络效应 alpha=beta=3.0,3.0,3.9000000000000004,0.9999988193735085,0.9999988193735085,0.9999988193735085,1
强网络效应 alpha=beta=3.0,3.0,3.95,0.9999991729195989,0.9999991729195989,0.9999991729195989,1
强网络效应 alpha=beta=3.0,3.0,4.0,0.9999991863346014,0.9999991863346014,0.9999991863346014,1
强网络效应 alpha=beta=3.0,3.0,4.05,0.9999991849614831,0.9999991849614831,0.9999991849614831,1
强网络效应 alpha=beta=3.0,3.0,4.1000000000000005,0.9999991028806552,0.9999991028806552,0.9999991028806552,1
强网络效应 alpha=beta=3.0,3.0,4.15,0.9999994075774198,0.9999994075774198,0.9999994075774198,1
强网络效应 alpha=beta=3.0,3.0,4.2,0.9999991184346837,0.9999991184346837,0.9999991184346837,1
强网络效应 alpha=beta=3.0,3.0,4.25,0.9999994545180445,0.9999994545180445,0.9999994545180445,1
强网络效应 alpha=beta=3.0,3.0,4.3,0.9999993045907942,0.9999993045907942,0.9999993045907942,1
强网络效应 alpha=beta=3.0,3.0,4.3500000000000005,0.999999430667082,0.999999430667082,0.999999430667082,1
强网络效应 alpha=beta=3.0,3.0,4.4,0.9999994878708882,0.9999994878708882,0.9999994878708882,1
强网络效应 alpha=beta=3.0,3.0,4.45,0.9999994866935001,0.9999994866935001,0.9999994866935001,1
强网络效应 alpha=beta=3.0,3.0,4.5,0.9999995176215474,0.9999995176215474,0.9999995176215474,1
强网络效应 alpha=beta=3.0,3.0,4.55,0.9999996157863827,0.9999996157863827,0.9999996157863827,1
强网络效应 alpha=beta=3.0,3.0,4.6000000000000005,0.9999995917228915,0.9999995917228915,0.9999995917228915,1
强网络效应 alpha=beta=3.0,3.0,4.65,0.9999997740270293,0.9999997740270293,0.9999997740270293,1
强网络效应 alpha=beta=3.0,3.0,4.7,0.9999996584050796,0.9999996584050796,0.9999996584050796,1
强网络效应 alpha=beta=3.0,3.0,4.75,0.9999997146240962,0.9999997146240962,0.9999997146240962,1
强网络效应 alpha=beta=3.0,3.0,4.800000000000001,0.9999998217405504,0.9999998217405504,0.9999998217405504,1
强网络效应 alpha=beta=3.0,3.0,4.8500000000000005,0.9999997355173588,0.9999997355173588,0.9999997355173588,1
强网络效应 alpha=beta=3.0,3.0,4.9,0.9999997675168321,0.9999997675168321,0.9999997675168321,1
强网络效应 alpha=beta=3.0,3.0,4.95,0.999999909249734,0.999999909249734,0.999999909249734,1
强网络效应 alpha=beta=3.0,3.0,5.0,0.9999998913802202,0.9999998913802202,0.9999998913802202,1
