delta_q,u_inf,m_inf,L_A,success
0.0,0.0016951248702030456,0.0016951248702030456,0.0016951248702030456,0
0.05,0.0018774365813867156,0.0018774365813867156,0.0018774365813867156,0
0.1,0.002079849367299869,0.002079849367299869,0.002079849367299869,0
0.15000000000000002,0.0023046948490915856,0.0023046948490915856,0.0023046948490915856,0
0.2,0.0025546018970034295,0.0025546018970034295,0.0025546018970034295,0
0.25,0.0028325442887100405,0.0028325442887100405,0.0028325442887100405,0
0.30000000000000004,0.003141890729503047,0.003141890729503047,0.003141890729503047,0
0.35000000000000003,0.0034864696828456245,0.0034864696828456245,0.0034864696828456245,0
0.4,0.0038706460941287475,0.0038706460941287475,0.0038706460941287475,0
0.45,0.004299415812298999,0.004299415812298999,0.004299415812298999,0
0.5,0.004778517606510167,0.004778517606510167,0.004778517606510167,0
0.55,0.005314575596782272,0.005314575596782272,0.005314575596782272,0
0.6000000000000001,0.005915275354174248,0.005915275354174248,0.005915275354174248,0
0.65,0.006589586573725753,0.006589586573725753,0.006589586573725753,0
0.7000000000000001,0.007348051522905535,0.007348051522905535,0.007348051522905535,0
0.75,0.008203153923927557,0.008203153923927557,0.008203153923927557,0
0.8,0.009169812210948456,0.009169812210948456,0.009169812210948456,0
0.8500000000000001,0.010266043091222024,0.010266043091222024,0.010266043091222024,0
0.9,0.9997244274645812,0.9997244274645812,0.9997244274645812,1
0.9500000000000001,0.9997507188782614,0.9997507188782614,0.9997507188782614,1
1.0,0.9997745203893595,0.9997745203893595,0.9997745203893595,1
1.05,0.9997960275513884,0.9997960275513884,0.9997960275513884,1
1.1,0.9998154763673291,0.9998154763673291,0.9998154763673291,1
1.1500000000000001,0.9998330756438719,0.9998330756438719,0.9998330756438719,1
1.2000000000000002,0.9998489623550226,0.9998489623550226,0.9998489623550226,1
1.25,0.9998633791310424,0.9998633791310424,0.9998633791310424,1
1.3,0.9998763954567597,0.9998763954567597,0.9998763954567597,1
1.35,0.9998881758164864,0.9998881758164864,0.9998881758164864,1
1.4000000000000001,0.9998988314643558,0.9998988314643558,0.9998988314643558,1
1.4500000000000002,0.9999084665165868,0.9999084665165868,0.9999084665165868,1
1.5,0.999917144123681,0.999917144123681,0.999917144123681,1
1.55,0.9999250517367558,0.9999250517367558,0.9999250517367558,1
1.6,0.99993220611232,0.99993220611232,0.99993220611232,1
1.6500000000000001,0.9999386612374431,0.9999386612374431,0.9999386612374431,1
1.7000000000000002,0.9999444996886961,0.9999444996886961,0.9999444996886961,1
1.75,0.9999497544303934,0.9999497544303934,0.9999497544303934,1
1.8,0.9999545601613734,0.9999545601613734,0.9999545601613734,1
1.85,0.9999588892494519,0.9999588892494519,0.9999588892494519,1
1.9000000000000001,0.999962804208206,0.999962804208206,0.999962804208206,1
1.9500000000000002,0.9999663094424677,0.9999663094424677,0.9999663094424677,1
2.0,0.9999695137074011,0.9999695137074011,0.9999695137074011,1
2.0500000000000003,0.9999724259933674,0.9999724259933674,0.9999724259933674,1
2.1,0.9999750670735987,0.9999750670735987,0.9999750670735987,1
2.15,0.9999774401339843,0.9999774401339843,0.9999774401339843,1
2.2,0.9999795868241632,0.9999795868241632,0.9999795868241632,1
2.25,0.9999815289918126,0.9999815289918126,0.9999815289918126,1
2.3000000000000003,0.9999832857164481,0.9999832857164481,0.9999832857164481,1
2.35,0.9999848740619685,0.9999848740619685,0.9999848740619685,1
2.4000000000000004,0.9999862917998121,0.9999862917998121,0.9999862917998121,1
2.45,0.9999875969367059,0.9999875969367059,0.9999875969367059,1
2.5,0.9999887748413153,0.9999887748413153,0.9999887748413153,1
2.5500000000000003,0.9999898384437074,0.9999898384437074,0.9999898384437074,1
2.6,0.9999907883720026,0.9999907883720026,0.9999907883720026,1
2.6500000000000004,0.9999916626712019,0.9999916626712019,0.9999916626712019,1
2.7,0.9999924625858063,0.9999924625858063,0.9999924625858063,1
2.75,0.9999931799151376,0.9999931799151376,0.9999931799151376,1
2.8000000000000003,0.9999938337123071,0.9999938337123071,0.9999938337123071,1
2.85,0.9999944269121999,0.9999944269121999,0.9999944269121999,1
2.9000000000000004,0.9999949398351637,0.9999949398351637,0.9999949398351637,1
2.95,0.9999954063391318,0.9999954063391318,0.9999954063391318,1
3.0,0.9999958291849943,0.9999958291849943,0.9999958291849943,1
3.0500000000000003,0.9999962304812067,0.9999962304812067,0.9999962304812067,1
3.1,0.9999965751972635,0.9999965751972635,0.9999965751972635,1
3.1500000000000004,0.9999969088169245,0.9999969088169245,0.9999969088169245,1
3.2,0.9999972062904284,0.9999972062904284,0.9999972062904284,1
3.25,0.9999974692157434,0.9999974692157434,0.9999974692157434,1
3.3000000000000003,0.9999976651496176,0.9999976651496176,0.9999976651496176,1
3.35,0.9999979696971074,0.9999979696971074,0.9999979696971074,1
3.4000000000000004,0.9999981407946429,0.9999981407946429,0.9999981407946429,1
3.45,0.9999983409558104,0.9999983409558104,0.9999983409558104,1
3.5,0.9999985047949501,0.9999985047949501,0.9999985047949501,1
3.5500000000000003,0.9999986488860664,0.9999986488860664,0.9999986488860664,1
3.6,0.9999987672513,0.9999987672513,0.9999987672513,1
3.6500000000000004,0.9999988984219214,0.9999988984219214,0.9999988984219214,1
3.7,0.9999990101955006,0.9999990101955006,0.9999990101955006,1
3.75,0.9999987774240902,0.9999987774240902,0.9999987774240902,1
3.8000000000000003,0.9999988977108321,0.9999988977108321,0.9999988977108321,1
3.85,0.9999991699837788,0.9999991699837788,0.9999991699837788,1
3.9000000000000004,0.9999988193734944,0.9999988193734944,0.9999988193734944,1
3.95,0.9999991729195761,0.9999991729195761,0.9999991729195761,1
4.0,0.9999991863345993,0.9999991863345993,0.9999991863345993,1
4.05,0.9999991849614844,0.9999991849614844,0.9999991849614844,1
4.1000000000000005,0.9999991028806315,0.9999991028806315,0.9999991028806315,1
4.15,0.9999994075774192,0.9999994075774192,0.9999994075774192,1
4.2,0.999999118434684,0.999999118434684,0.999999118434684,1
4.25,0.9999994545180169,0.9999994545180169,0.9999994545180169,1
4.3,0.9999993045906879,0.9999993045906879,0.9999993045906879,1
4.3500000000000005,0.9999994306670794,0.9999994306670794,0.9999994306670794,1
4.4,0.9999994878707144,0.9999994878707144,0.9999994878707144,1
4.45,0.9999994866934978,0.9999994866934978,0.9999994866934978,1
4.5,0.9999995176215473,0.9999995176215473,0.9999995176215473,1
4.55,0.9999996157863817,0.9999996157863817,0.9999996157863817,1
4.6000000000000005,0.9999995917228914,0.9999995917228914,0.9999995917228914,1
4.65,0.9999997740270299,0.9999997740270299,0.9999997740270299,1
4.7,0.9999996584050796,0.9999996584050796,0.9999996584050796,1
4.75,0.9999997146240964,0.9999997146240964,0.9999997146240964,1
4.800000000000001,0.99999982174055,0.99999982174055,0.99999982174055,1
4.8500000000000005,0.999999735517361,0.999999735517361,0.999999735517361,1
4.9,0.999999767516832,0.999999767516832,0.999999767516832,1
4.95,0.9999999092497345,0.9999999092497345,0.9999999092497345,1
5.0,0.9999998913802194,0.9999998913802194,0.9999998913802194,1
