,rho=0.00,rho=0.01,rho=0.02,rho=0.03,rho=0.04,rho=0.05,rho=0.06,rho=0.07,rho=0.08,rho=0.09,rho=0.10,rho=0.11,rho=0.12,rho=0.13,rho=0.14,rho=0.15,rho=0.16,rho=0.17,rho=0.18,rho=0.19,rho=0.20,rho=0.21,rho=0.22,rho=0.23,rho=0.24,rho=0.25,rho=0.26,rho=0.27,rho=0.28,rho=0.29,rho=0.30,rho=0.31,rho=0.32,rho=0.33,rho=0.34,rho=0.35,rho=0.36,rho=0.37,rho=0.38,rho=0.39,rho=0.40,rho=0.41,rho=0.42,rho=0.43,rho=0.44,rho=0.45,rho=0.46,rho=0.47,rho=0.48,rho=0.49,rho=0.50,rho=0.51,rho=0.52,rho=0.53,rho=0.54,rho=0.55,rho=0.56,rho=0.57,rho=0.58,rho=0.59,rho=0.60,rho=0.61,rho=0.62,rho=0.63,rho=0.64,rho=0.65,rho=0.66,rho=0.67,rho=0.68,rho=0.69,rho=0.70,rho=0.71,rho=0.72,rho=0.73,rho=0.74,rho=0.75,rho=0.76,rho=0.77,rho=0.78,rho=0.79,rho=0.80,rho=0.81,rho=0.82,rho=0.83,rho=0.84,rho=0.85,rho=0.86,rho=0.87,rho=0.88,rho=0.89,rho=0.90,rho=0.91,rho=0.92,rho=0.93,rho=0.94,rho=0.95,rho=0.96,rho=0.97,rho=0.98,rho=0.99,rho=1.00
B=0.50,0.003181922895677776,0.0031678138132444993,0.0031540118170694936,0.003140515537165676,0.00312732363385349,0.003114434797631907,0.00310184774905231,0.0030895612385514475,0.003077574233835394,0.0030658848864423055,0.003054492798091583,0.0030433965492983783,0.0030325950391524178,0.003022087196213187,0.0030118719784750104,0.003001948373361705,0.00299231539774929,0.002982972098043964,0.0029739174274354876,0.002965150545652231,0.002956670646903812,0.0029484768902025074,0.00294056841074277,0.002932944491379305,0.0029256043469266728,0.0029185472473401597,0.0029117725504576256,0.0029052794918810855,0.00289906746775421,0.0028931358644262353,0.002887483964436965,0.0028821113722501787,0.002877017499000963,0.0028722018390376835,0.002867664189183413,0.002863403124775066,0.002859419388112479,0.002855711958754671,0.0028522807564994026,0.0028491253272587827,0.002846245369338426,0.0028436406181007205,0.00284131051095512,0.0028392549850173006,0.0028374739582935913,0.002835967300934338,0.0028347348458074573,0.002833776370466216,0.002833091814904599,0.002832681110178391,0.0028325442887100383,0.002832681110178391,0.002833091814904599,0.0028337763704662164,0.0028347348458074573,0.002835967300934339,0.0028374739582935913,0.002839254985017273,0.0028413105109551563,0.0028436406181007205,0.002846245369338426,0.0028491253272587827,0.0028522807564994026,0.002855711958754671,0.002859419388112479,0.002863403124775011,0.0028676641891835645,0.0028722018390377082,0.0028770174990010275,0.0028821113722501835,0.0028874839644369077,0.002893135864426255,0.00289906746775421,0.0029052794918810855,0.0029117725504576256,0.0029185472473401597,0.0029256043469266728,0.002932944491379302,0.0029405684107427594,0.0029484768902025057,0.0029566706469038107,0.002965150545652226,0.0029739174274354793,0.0029829720980439926,0.002992315397749292,0.0030019483733617954,0.0030118719784750104,0.003022087196213187,0.0030325950391524178,0.0030433965492984057,0.003054492798091525,0.0030658848864422595,0.0030775742338353573,0.003089561238551627,0.003101847749052299,0.0031144347976318544,0.0031273236338534745,0.0031405155371656618,0.0031540118170694945,0.003167813813244493,0.003181922895677776
B=0.60,0.0037030354001653955,0.003680182827452159,0.003657842950117049,0.003636012579000356,0.0036146885975465613,0.003593867961393785,0.003573547697975589,0.00355372490614483,0.0035343967558151327,0.0035155604876274398,0.0034972134126395405,0.0034793529120435316,0.003461976342270316,0.003445081356457011,0.003428665490331999,0.0034127263989003056,0.0033972618052187046,0.00338226970518491,0.00336774755111646,0.003353693162630009,0.003340105157530764,0.0033269812833213418,0.0033143196682993772,0.003302118508239203,0.0032903759242232915,0.00327909031070364,0.0032682601276918795,0.0032578837810265005,0.003247959840839344,0.0032384868663840865,0.003229463555025265,0.0032208885461249216,0.0032127606483877266,0.0032050787090243033,0.003197841433011264,0.003191048025127074,0.003184697439312103,0.0031787887165356634,0.0031733211081977223,0.003168293598173482,0.0031637059300619105,0.003159557275698533,0.0031558464983056263,0.003152573589022126,0.0031497380746544398,0.0031473394072736686,0.0031453775178978565,0.0031438520590343216,0.003142762349004866,0.0031421086245706597,0.003141890729503054,0.0031421086245706597,0.003142762349004866,0.0031438520590342956,0.0031453775178978674,0.0031473394072736686,0.0031497380746544554,0.003152573589022125,0.00315584649830566,0.003159557275698533,0.0031637059300619105,0.003168293598173482,0.0031733211081977223,0.0031787887165356634,0.003184697439312103,0.00319104802512709,0.003197841433011273,0.0032050787090243363,0.00321276064838771,0.003220888546124968,0.003229463555025372,0.0032384868663841012,0.003247959840839344,0.0032578837810265005,0.0032682601276918795,0.00327909031070364,0.0032903759242232915,0.003302118508239164,0.0033143196682993707,0.0033269812833213847,0.0033401051575307214,0.003353693162630008,0.0033677475511166874,0.003382269705184583,0.003397261805218723,0.0034127263989003308,0.003428665490331999,0.003445081356457011,0.003461976342270316,0.0034793529120435342,0.0034972134126394095,0.0035155604876274562,0.0035343967558151158,0.0035537249061447446,0.0035735476979756034,0.0035938679613938583,0.0036146885975465734,0.0036360125790003547,0.003657842950117054,0.0036801828274521504,0.0037030354001653955
B=0.70,0.004339785623471565,0.004304692048614776,0.004270413085375553,0.00423694210027099,0.004204272588928109,0.004172398211016623,0.004141312780162565,0.0041110102628485945,0.004081484765720594,0.004052730563650927,0.004024742052088393,0.00399751383541159,0.003971040610757367,0.003945317237481273,0.0039203387203581765,0.003896100208714828,0.003872596995624838,0.0038498245171811763,0.003827778351859353,0.0038064542199944653,0.0037858479048915187,0.0037659554876429907,0.003746773079870822,0.003728296954405766,0.003710523441406906,0.003693449218647006,0.0036770709672504964,0.003661385469292705,0.003646389661726234,0.003632080453574836,0.0036184552752589107,0.0036055114314891036,0.0035932464509576285,0.003581657928711187,0.0035707436918903483,0.0035605015247965463,0.0035509294995391006,0.0035420254765954496,0.00353378803167131,0.003526215890940248,0.0035193062688065758,0.003513058965849713,0.0035074728704174267,0.0035025461517326525,0.003498278311490457,0.003494668585137791,0.0034917160066647666,0.0034894207447219395,0.0034877811255889543,0.003486797450631713,0.00348646968284565,0.003486797450631713,0.0034877811255889543,0.003489420744721898,0.0034917160066647926,0.0034946685851377766,0.003498278311490432,0.0035025461517326478,0.003507472870417825,0.003513058965849713,0.0035193062688065758,0.003526215890940248,0.00353378803167131,0.0035420254765954496,0.0035509294995391006,0.00356050152479631,0.003570743691890304,0.003581657928711194,0.0035932464509576207,0.003605511431489106,0.0036184552752589892,0.0036320804535748662,0.003646389661726234,0.003661385469292705,0.0036770709672504964,0.003693449218647006,0.003710523441406906,0.0037282969544058676,0.003746773079870912,0.0037659554876430168,0.003785847904891515,0.0038064542199944145,0.0038277783518593364,0.003849824517181171,0.003872596995624886,0.003896100208714834,0.0039203387203581765,0.003945317237481273,0.003971040610757367,0.00399751383541161,0.004024742052088403,0.004052730563650942,0.004081484765720598,0.004111010262848425,0.004141312780162544,0.004172398211016575,0.004204272588928129,0.004236942100270992,0.004270413085375552,0.004304692048614771,0.004339785623471565
B=0.80,0.005117917896264963,0.005066049095921576,0.005015429957304783,0.004966047673075866,0.00491788974719048,0.004870943991889621,0.004825198517502847,0.0047806417543370784,0.004737262414974916,0.004695049519606757,0.0046539923757704885,0.004614080586154267,0.004575304039049828,0.004537652910211532,0.004501117666008578,0.004465689048402876,0.0044313580805475285,0.004398116056181702,0.0043659545358810305,0.004334865399360276,0.004304840755397618,0.004275872993924051,0.004247954772694646,0.004221079015798109,0.004195238912435012,0.004170427916081637,0.004146639744179236,0.004123868227281858,0.004102107750598074,0.004081352747720343,0.004061597837202493,0.004042838278792954,0.004025069099759745,0.004008285751784921,0.0039924841361443225,0.003977660137710282,0.003963810153094839,0.003950930593577017,0.00393901824107731,0.003928069859783713,0.003918082753241094,0.003909054490500019,0.0039009824566147793,0.003893865109557595,0.0038877001080398965,0.003882486427461299,0.0038782224006810844,0.003874907797764673,0.003872540168578433,0.003871119775102463,0.0038706460941287453,0.003871119775102463,0.003872540168578433,0.0038749077977639655,0.0038782224006810593,0.0038824864274612713,0.003887700108039899,0.003893865109557552,0.003900982456614464,0.003909054490500019,0.003918082753241094,0.003928069859783713,0.00393901824107731,0.003950930593577017,0.003963810153094839,0.003977660137710203,0.0039924841361443945,0.004008285751784934,0.004025069099759546,0.004042838278792317,0.004061597837202323,0.004081352747720325,0.004102107750598074,0.004123868227281858,0.004146639744179236,0.004170427916081637,0.004195238912435012,0.00422107901579814,0.004247954772694605,0.00427587299392405,0.004304840755397625,0.004334865399360319,0.004365954535881043,0.004398116056181507,0.004431358080547506,0.0044656890484028895,0.004501117666008578,0.004537652910211532,0.004575304039049828,0.00461408058615426,0.004653992375770494,0.0046950495196067315,0.004737262414974925,0.00478064175433706,0.004825198517502876,0.0048709439918895965,0.0049178897471904865,0.004966047673075857,0.005015429957304796,0.005066049095921572,0.005117917896264963
B=0.90,0.006068957497898828,0.005994455111127834,0.005921820344527698,0.005851030166483479,0.005782061566727935,0.005714892694003046,0.005649502147431673,0.005585868931416621,0.005523972693156642,0.005463793632190543,0.005405312494311389,0.005348510565638627,0.005293369666853918,0.005239872147611775,0.005188000881136876,0.005137739259021496,0.005089071180139239,0.00504198106486251,0.004996453822730767,0.004952474875415924,0.0049100301295586565,0.004869105981089638,0.004829689316555259,0.004791767505049254,0.004755328392323567,0.004720360270143819,0.004686851968482103,0.004654792731073966,0.004624172281372869,0.004594980805739501,0.004567208952513418,0.004540847833074058,0.004515888836017111,0.004492324109559354,0.00447014610760356,0.0044493474258124315,0.004429921700718488,0.004411862712699723,0.004395164508367378,0.004379821991093243,0.004365830156067446,0.0043531843120294955,0.004341880402846876,0.0043319149647070955,0.004323284149059409,0.004315986067104466,0.004310018325604967,0.004305378587987218,0.004302066326575213,0.004300078204865011,0.004299415812299003,0.004300078204865011,0.004302066326575213,0.004305378587987092,0.004310018325604847,0.00431598606710446,0.004323284149059444,0.004331914964705211,0.004341880402847151,0.0043531843120294955,0.004365830156067446,0.004379821991093243,0.004395164508367378,0.004411862712699723,0.004429921700718488,0.004449347425812416,0.00447014610760336,0.0044923241095598246,0.0045158888360173404,0.004540847833073453,0.0045672089525133144,0.004594980805739318,0.004624172281372869,0.004654792731073966,0.004686851968482103,0.004720360270143819,0.004755328392323567,0.0047917675050492955,0.004829689316555213,0.004869105981089675,0.004910030129558648,0.004952474875415922,0.004996453822730789,0.005041981064862518,0.005089071180139239,0.00513773925902147,0.005188000881136876,0.005239872147611775,0.005293369666853918,0.005348510565638604,0.005405312494311391,0.005463793632190525,0.005523972693156581,0.005585868931416599,0.00564950214743173,0.005714892694002835,0.005782061566727923,0.005851030166483466,0.0059218203445276976,0.005994455111127825,0.006068957497898828
B=1.00,0.007231541915097549,0.007126858957522398,0.007024911458054715,0.006925659294413562,0.006829063394298272,0.006735085720797257,0.006643689258157375,0.006554837997912858,0.006468496978241533,0.0063846320840541685,0.006303210230650284,0.006224199423331623,0.006147568250863453,0.006073286859087189,0.006001325848809698,0.005931656720078517,0.005864251936951914,0.005799084915376943,0.005736129925610868,0.005675362107260596,0.005616757459789177,0.0055602928333458755,0.005505945919964183,0.005453695245207159,0.00540352015507261,0.005355400822787606,0.005309318223692675,0.005265254123434559,0.005223191142944023,0.005183112611488357,0.005145002668328634,0.005108846269503928,0.005074629106254251,0.005042337649232368,0.005011959137769839,0.004983481585132811,0.004956893554893305,0.004932184577594442,0.004909344836564036,0.004888365488078533,0.0048692381083589135,0.004851955327462298,0.0048365100342656585,0.004822896108332784,0.004811108513560413,0.0048011418461009325,0.004792992761125771,0.004786658053009358,0.0047821359072333204,0.004779421867007074,0.004778517606510165,0.004779421867007074,0.0047821359072333204,0.004786658053009589,0.004792992761125701,0.004801141846100861,0.004811108513560739,0.0048228961083329105,0.004836510034266317,0.004851955327462298,0.0048692381083589135,0.004888365488078533,0.004909344836564036,0.004932184577594442,0.004956893554893305,0.004983481585132645,0.005011959137769543,0.005042337649232467,0.005074629106254145,0.005108846269503842,0.005145002668328616,0.005183112611488284,0.005223191142944023,0.005265254123434559,0.005309318223692675,0.005355400822787606,0.00540352015507261,0.005453695245207104,0.005505945919964183,0.005560292833345826,0.005616757459789172,0.0056753621072605995,0.005736129925610862,0.005799084915376919,0.005864251936951819,0.005931656720078499,0.006001325848809698,0.006073286859087189,0.006147568250863453,0.006224199423331526,0.00630321023065029,0.006384632084054167,0.006468496978241531,0.00655483799791285,0.006643689258157386,0.006735085720797257,0.006829063394298266,0.006925659294413553,0.007024911458054753,0.007126858957522402,0.007231541915097549
B=1.10,0.008653077799480706,0.008508515837880981,0.00836789669356178,0.008231153674814536,0.008098221604824579,0.007969037564768185,0.007843540047900124,0.007721669014316685,0.007603367401307371,0.007488578335916388,0.007377247185250719,0.007269320954368272,0.007164748242892684,0.00706347924843876,0.006965465718922384,0.006870660940819483,0.00677901971785055,0.006690498350248946,0.0066050546147164565,0.006522647811852921,0.006443238523334877,0.006366788640852808,0.00629326228229358,0.006222623945835279,0.006154839895428017,0.0060898777689306766,0.006027706542513897,0.005968296515227282,0.0059116193005882,0.0058576478134063316,0.005806356255452615,0.005757720108990179,0.005711716107476781,0.005668322290826729,0.005627517866037983,0.0055892833404625145,0.005553600427238208,0.005520452071678658,0.005489822455837123,0.005461696663164579,0.005436061508585096,0.005412904636095971,0.005392215031999124,0.005373982754602817,0.005358199221766914,0.005344856564978156,0.005333948180555322,0.005325469649188617,0.005319417044697185,0.0053157854724113305,0.005314575596782249,0.0053157854724113305,0.005319417044697185,0.005325469649188728,0.005333948180555607,0.00534485656497807,0.005358199221767852,0.0053739827546028344,0.005392215031999017,0.005412904636095971,0.005436061508585096,0.005461696663164579,0.005489822455837123,0.005520452071678658,0.005553600427238208,0.005589283340462554,0.005627517866038047,0.00566832229082666,0.00571171610747672,0.005757720108990098,0.0058063562554525735,0.00585764781340626,0.0059116193005882,0.005968296515227282,0.006027706542513897,0.0060898777689306766,0.006154839895428017,0.006222623945835365,0.0062932622822935505,0.00636678864085277,0.006443238523334873,0.006522647811852919,0.006605054614716447,0.0066904983502489145,0.006779019717850552,0.006870660940819478,0.006965465718922384,0.00706347924843876,0.007164748242892684,0.00726932095436827,0.007377247185250584,0.007488578335916224,0.0076033674013074315,0.007721669014316113,0.007843540047900525,0.007969037564768348,0.008098221604824573,0.00823115367481453,0.008367896693561784,0.008508515837880969,0.008653077799480706
B=1.20,0.010391830159917466,0.010194951125649452,0.010003681194198725,0.009817912758916249,0.009637541074796398,0.009462464457350264,0.009292584015362754,0.009127804353157803,0.008968032086116915,0.008813176987542259,0.008663151571246723,0.008517871115209193,0.008377253388297866,0.008241218888742375,0.008109690642843547,0.00798259419831869,0.007859857564536223,0.007741411324009794,0.007627188305262323,0.007517123778124756,0.007411155444920587,0.007309223073459097,0.007211268878738093,0.007117237275507595,0.0070270749154531745,0.006940730623472766,0.006858155377543089,0.00677930234136544,0.006704126546923349,0.006632585594221467,0.006564638679518559,0.006500247144987271,0.006439374419704187,0.006381985903680318,0.00632804897405476,0.0062775329642212,0.006230409149428546,0.0061866507336352395,0.006146232812274419,0.006109132419109023,0.006075328460343971,0.006044801768652524,0.006017534629385441,0.005993511800141591,0.0059727197002195954,0.00595514656432461,0.0059407819440126354,0.005929617733605945,0.005921648302036238,0.005916868064436934,0.0059152753541742795,0.005916868064436934,0.005921648302036238,0.00592961773360585,0.005940781944012332,0.005955146564325474,0.005972719700219778,0.005993511800141843,0.006017534629382346,0.006044801768652524,0.006075328460343971,0.006109132419109023,0.006146232812274419,0.0061866507336352395,0.006230409149428546,0.006277532964221112,0.0063280489740545915,0.006381985903680302,0.006439374419704177,0.006500247144987282,0.006564638679518628,0.00663258559422123,0.006704126546923349,0.00677930234136544,0.006858155377543089,0.006940730623472766,0.0070270749154531745,0.007117237275507576,0.007211268878738043,0.00730922307345908,0.007411155444920443,0.007517123778124768,0.007627188305262499,0.007741411324009848,0.007859857564536178,0.007982594198318722,0.008109690642843547,0.008241218888742375,0.008377253388297866,0.008517871115209193,0.008663151571246728,0.008813176987542297,0.008968032086116852,0.009127804353157406,0.009292584015362378,0.009462464457350083,0.00963754107479637,0.009817912758916242,0.010003681194198732,0.010194951125649462,0.010391830159917466
B=1.30,0.012519581365106999,0.012254455932713092,0.011997223719261985,0.011747715569341458,0.011505766784989666,0.011271217952429491,0.0110439143815331,0.010823706062514324,0.010610447496092882,0.010403997956565622,0.010204220643986385,0.010010983431089807,0.009824158420199156,0.009643622043883854,0.009469254496342007,0.009300940278540283,0.00913856773218489,0.008982029306941582,0.00883122102341743,0.008686042905978485,0.008546398346657722,0.008412194580085937,0.008283342500271278,0.008159756367872216,0.008041354033558523,0.007928056732378954,0.007819789028212757,0.007716479070639739,0.007618058026794373,0.007524460217877277,0.0074356233690140265,0.00735148828137991,0.007271998908812836,0.0071971022700193215,0.007126748447252126,0.007060890678822729,0.006999484865879521,0.0069424901098885375,0.006889868402974982,0.00684158464578489,0.006797606639956639,0.006757905033624365,0.006722453344952521,0.006691227957201239,0.006664207922010659,0.006641375242874513,0.006622714858920806,0.006608214120937666,0.006597863214002011,0.006591655549204119,0.00658958657372576,0.006591655549204119,0.006597863214002011,0.006608214120937963,0.006622714858927615,0.006641375242874097,0.00666420792201021,0.0066912279572016,0.006722453344952006,0.006757905033624365,0.006797606639956639,0.00684158464578489,0.006889868402974982,0.0069424901098885375,0.006999484865879521,0.007060890678822911,0.007126748447252924,0.007197102270019334,0.007271998908812881,0.007351488281379919,0.007435623369014089,0.007524460217877166,0.007618058026794373,0.007716479070639739,0.007819789028212757,0.007928056732378954,0.008041354033558523,0.008159756367872206,0.008283342500271278,0.00841219458008596,0.008546398346657753,0.008686042905978755,0.00883122102341743,0.008982029306941293,0.009138567732184948,0.009300940278540294,0.009469254496342007,0.009643622043883854,0.009824158420199156,0.010010983431089806,0.010204220643986347,0.010403997956565622,0.010610447496092967,0.010823706062514473,0.011043914381533244,0.01127121795242963,0.011505766784989666,0.01174771556934145,0.011997223719262023,0.012254455932713109,0.012519581365106999
B=1.40,0.015125086220880653,0.014771325511521691,0.01442857121644534,0.014096563037474502,0.013775047659997163,0.013463780726149639,0.0131625249314418,0.012871050004756265,0.012589133424524385,0.012316559789508668,0.012053120962570857,0.01179861496503204,0.01155284711612611,0.011315629421524653,0.011086779817109647,0.01086612264536231,0.010653488626153422,0.010448714487233234,0.010251643263174383,0.010062123022541369,0.009880008241428782,0.009705159141983765,0.009537440830152306,0.009376724194305198,0.00922288547866595,0.009075806378068194,0.00893537326553727,0.008801477886154645,0.008674017408591542,0.008552893143922123,0.00843801163316289,0.008329284330118078,0.008226627196576759,0.008129960987394835,0.008039211123459442,0.007954307500629233,0.007875184397654325,0.007801780782649911,0.00773403982323423,0.007671909238254154,0.007615340975257921,0.0075642912491084655,0.0075187206105501656,0.007478593806268306,0.007443879833625672,0.0074145517765155065,0.0073905869663445,0.0073719669406660145,0.007358677146909779,0.007350708023882846,0.007348051522905537,0.007350708023882846,0.007358677146909779,0.007371966940668367,0.007390586966344442,0.007414551776514589,0.007443879833625417,0.00747859380626868,0.007518720610550221,0.0075642912491084655,0.007615340975257921,0.007671909238254154,0.00773403982323423,0.007801780782649911,0.007875184397654325,0.007954307500629178,0.008039211123459282,0.00812996098739463,0.008226627196576727,0.008329284330118071,0.008438011633162894,0.008552893143922031,0.008674017408591542,0.008801477886154645,0.00893537326553727,0.009075806378068194,0.00922288547866595,0.00937672419430523,0.009537440830152285,0.009705159141984061,0.009880008241428836,0.010062123022541369,0.0102516432631744,0.010448714487233121,0.010653488626153515,0.010866122645362278,0.011086779817109647,0.011315629421524653,0.01155284711612611,0.011798614965032012,0.01205312096257086,0.012316559789508694,0.012589133424524382,0.01287105000475625,0.013162524931441651,0.013463780726150395,0.013775047659997246,0.014096563037474516,0.014428571216445392,0.014771325511521697,0.015125086220880653
B=1.50,0.01831869014765348,0.017850179342210552,0.01739690017533132,0.016958458873394644,0.016534472892808575,0.0161245729518575,0.015728401711090877,0.015345613049684879,0.0149758721155751,0.01461885578408412,0.014274251455452192,0.013941757289467636,0.013621081397076353,0.013311942353320436,0.01301406920671326,0.012727199994325832,0.012451082308334855,0.012185473285905503,0.01193013891354756,0.011684854769089363,0.011449404274965375,0.011223580037050646,0.011007182683584554,0.01080002112783338,0.010601912361268041,0.010412682157428254,0.01023216255628272,0.010060194027864879,0.009896624471996119,0.009741309122624251,0.00959411100820043,0.009454899294644322,0.009323550880801541,0.009199949300751475,0.009083984980792312,0.008975555654699024,0.008874564687498705,0.008780922633884455,0.00869454647549726,0.00861535964564436,0.008543291827561077,0.008478279120314788,0.008420263797116162,0.008369194368425703,0.008325025557853765,0.00828771808447281,0.008257238851820593,0.008233560993962767,0.008216662983493734,0.00820653042532847,0.008203153923927575,0.00820653042532847,0.008216662983493734,0.008233560993983459,0.008257238851820729,0.008287718084473029,0.008325025557852854,0.008369194368426458,0.008420263797116013,0.008478279120314788,0.008543291827561077,0.00861535964564436,0.00869454647549726,0.008780922633884455,0.008874564687498705,0.008975555654699076,0.00908398498079616,0.009199949300751754,0.009323550880801581,0.009454899294644195,0.00959411100820031,0.009741309122623852,0.009896624471996119,0.010060194027864879,0.01023216255628272,0.010412682157428254,0.010601912361268041,0.010800021127834104,0.011007182683584443,0.011223580037050644,0.011449404274965864,0.01168485476908933,0.011930138913548197,0.012185473285905295,0.01245108230833474,0.012727199994325557,0.01301406920671326,0.013311942353320436,0.013621081397076353,0.013941757289467593,0.014274251455452355,0.014618855784084022,0.014975872115574917,0.015345613049684898,0.015728401711090384,0.016124572951857586,0.016534472892808592,0.016958458873394533,0.017396900175331503,0.017850179342210504,0.01831869014765348
B=1.60,0.9991342427896974,0.9991592486310574,0.9991834910406402,0.9992068264859599,0.999229359309895,0.9992511132526818,0.9992721360478269,0.999292382481535,0.999311888099737,0.017394789830392384,0.01694694994642031,0.016515427565894296,0.0160997926077395,0.01569963073155655,0.015314542342143684,0.014944143708968955,0.014588063759205344,0.01424594644178269,0.0139174501895998,0.01360224504700163,0.01330001585049632,0.013010459495710605,0.012733285083909265,0.012468214930095908,0.012214982557303126,0.011973333668879855,0.011743025430334692,0.011523826247969129,0.011315515387540862,0.01111788332049276,0.0109307314510396,0.010753870718472766,0.010587123208547553,0.010430321125851934,0.01028330608531799,0.01014592979317604,0.01001805390315259,0.009899549452185052,0.00979029662238421,0.009690185212729373,0.009599114486782603,0.00951699211459775,0.009443735165430433,0.009379270053739069,0.009323531266670232,0.00927646266008849,0.00923801670310732,0.00920815443710521,0.00918684592828848,0.009174069446946438,0.009169812210948614,0.009174069446946438,0.00918684592828848,0.009208154437105699,0.009238016703108785,0.009276462660088587,0.009323531266669943,0.009379270053739095,0.009443735165430189,0.00951699211459775,0.009599114486782603,0.009690185212729373,0.00979029662238421,0.009899549452185052,0.01001805390315259,0.010145929793178519,0.010283306085317988,0.010430321125851892,0.010587123208552044,0.010753870718473044,0.010930731451040121,0.01111788332049339,0.011315515387540862,0.011523826247969129,0.011743025430334692,0.011973333668879855,0.012214982557303126,0.012468214930096186,0.012733285083909111,0.01301045949571061,0.013300015850496314,0.013602245047001953,0.013917450189599778,0.014245946441782717,0.014588063759205317,0.014944143708968852,0.015314542342143684,0.01569963073155655,0.0160997926077395,0.01651542756589437,0.016946949946419914,0.01739478983039243,0.9993118880997371,0.999292382481535,0.9992721360478269,0.9992511132526822,0.9992293593098958,0.9992068264859597,0.9991834910406405,0.9991592486310574,0.9991342427896974
